Region,Country Name,Mobile users per capita,Population,Year,Migration: Top 3 destinations,Migration: Top 3 sources
Asia,Afghanistan,0.00,25950816,2000,"[('Iran, Islamic Rep.', '762129'), ('Kuwait', '88350'), ('United States', '44893')]","[('Bangladesh', '41817'), ('Pakistan', '14877'), ('Nepal', '7169')]"
Europe,Albania,0.01,3071856,2000,"[('Greece', '420838'), ('Italy', '275300'), ('Germany', '221897')]","[('Greece', '67508'), ('Macedonia, FYR', '5396'), ('Hungary', '599')]"
Africa,Algeria,0.00,30533827,2000,"[('France', '1057135'), ('Israel', '46734'), ('United Kingdom', '40555')]","[('Morocco', '41770'), ('France', '28772'), ('Tunisia', '5426')]"
Oceania,American Samoa,0.03,57625,2000,"[('United States', '16339'), ('Samoa', '1920'), ('New Zealand', '391')]","[('Samoa', '17777'), ('United States', '3605'), ('Tonga', '1150')]"
Europe,Andorra,0.36,64634,2000,"[('Spain', '2888'), ('France', '394'), ('Portugal', '371')]","[('Spain', '24505'), ('Portugal', '8513'), ('France', '4346')]"
Africa,Angola,0.00,13926373,2000,"[('Portugal', '167578'), ('Namibia', '52200'), ('United Kingdom', '33459')]","[('Portugal', '10113'), ('Cape Verde', '6780'), ('Sao Tome and Principe', '5915')]"
The Americas,Antigua and Barbuda,0.28,77656,2000,"[('United States', '19151'), ('Philippines', '5791'), ('Virgin Islands (U.S.)', '4842')]","[('Guyana', '3638'), ('Dominica', '2675'), ('Jamaica', '2249')]"
The Americas,Argentina,0.18,36930709,2000,"[('United States', '133210'), ('Spain', '83803'), ('Paraguay', '64284')]","[('Paraguay', '331688'), ('Bolivia', '237213'), ('Italy', '224155')]"
Asia,Armenia,0.01,3076098,2000,"[('Russian Federation', '481328'), ('United States', '99985'), ('Azerbaijan', '89898')]","[('Azerbaijan', '115689'), ('Georgia', '66796'), ('Russian Federation', '29077')]"
The Americas,Aruba,0.17,90271,2000,"[('Netherlands Antilles', '3317'), ('United States', '2101'), ('Netherlands', '1104')]","[('Colombia', '7047'), ('Netherlands', '3678'), ('Dominican Republic', '3630')]"
Oceania,Australia,0.45,19153000,2000,"[('United Kingdom', '113700'), ('United States', '74459'), ('New Zealand', '56375')]","[('United Kingdom', '1026553'), ('New Zealand', '350498'), ('Italy', '216676')]"
Europe,Austria,0.76,8011566,2000,"[('Germany', '189096'), ('United States', '72126'), ('Serbia and Montenegro', '61465')]","[('Serbia and Montenegro', '187588'), ('Turkey', '179638'), ('Bosnia and Herzegovina', '152381')]"
Asia,Azerbaijan,0.05,8048600,2000,"[('Russian Federation', '846104'), ('Israel', '225396'), ('Armenia', '115689')]","[('Russian Federation', '106281'), ('Armenia', '89898'), ('Ukraine', '20764')]"
The Americas,"Bahamas, The",0.11,297651,2000,"[('United States', '30465'), ('Canada', '1419'), ('Turks and Caicos Islands', '940')]","[('Haiti', '12703'), ('United States', '4989'), ('Jamaica', '3256')]"
Middle East,Bahrain,0.32,638193,2000,"[('Thailand', '9980'), ('Philippines', '8252'), ('Indonesia', '4388')]","[('India', '39310'), ('Afghanistan', '34419'), ('Pakistan', '24149')]"
Asia,Bangladesh,0.00,129592275,2000,"[('India', '3789377'), ('Saudi Arabia', '366007'), ('United Kingdom', '163655')]","[('India', '936151'), ('Pakistan', '19837'), ('Nepal', '4004')]"
The Americas,Barbados,0.11,267511,2000,"[('United States', '54282'), ('Canada', '14677'), ('United Kingdom', '8194')]","[('St. Vincent and the Grenadines', '4401'), ('St. Lucia', '3970'), ('United Kingdom', '3576')]"
Europe,Belarus,0.00,10005000,2000,"[('Russian Federation', '935782'), ('Ukraine', '270751'), ('Poland', '113204')]","[('Russian Federation', '549738'), ('Poland', '291909'), ('Ukraine', '187293')]"
Europe,Belgium,0.55,10251250,2000,"[('France', '53553'), ('Netherlands', '43999'), ('United States', '41849')]","[('Italy', '203181'), ('France', '113542'), ('Morocco', '110962')]"
The Americas,Belize,0.07,249800,2000,"[('United States', '44013'), ('Canada', '1472'), ('France', '1262')]","[('Guatemala', '14672'), ('El Salvador', '6038'), ('Honduras', '4954')]"
Africa,Benin,0.01,6517810,2000,"[('Nigeria', '157826'), ('Togo', '64427'), (""Cote d'Ivoire"", '60847')]","[('Niger', '45137'), ('Togo', '28664'), ('Nigeria', '26569')]"
The Americas,Bermuda,0.21,62100,2000,"[('United States', '15254'), ('Canada', '2128'), ('Australia', '362')]","[('United Kingdom', '4818'), ('United States', '3537'), ('Canada', '2630')]"
Asia,Bhutan,0.00,571262,2000,"[('India', '7945'), ('Nepal', '2362'), ('Pakistan', '398')]","[('India', '30431'), ('China', '616'), ('Nepal', '488')]"
The Americas,Bolivia,0.07,8307248,2000,"[('Argentina', '237213'), ('United States', '53658'), ('Brazil', '20394')]","[('Argentina', '27612'), ('Brazil', '14708'), ('Mexico', '9557')]"
Europe,Bosnia and Herzegovina,0.03,3693698,2000,"[('Croatia', '459328'), ('Germany', '186646'), ('Austria', '152381')]","[('Germany', '15540'), ('Austria', '4894'), ('Greece', '3530')]"
Africa,Botswana,0.13,1757925,2000,"[('South Africa', '17676'), ('Malawi', '8438'), ('Mozambique', '3892')]","[('Mozambique', '11355'), ('Malawi', '6380'), ('Zimbabwe', '5444')]"
The Americas,Brazil,0.13,174425387,2000,"[('Japan', '242246'), ('United States', '225330'), ('Paraguay', '82987')]","[('Portugal', '212917'), ('Japan', '70837'), ('Italy', '54958')]"
Asia,Brunei Darussalam,0.29,327036,2000,"[('India', '30378'), ('Malaysia', '5007'), ('Canada', '4280')]","[('Malaysia', '58104'), ('Philippines', '11170'), ('Thailand', '9412')]"
Europe,Bulgaria,0.09,8170172,2000,"[('Turkey', '480716'), ('United States', '36019'), ('Greece', '33726')]","[('Russian Federation', '29185'), ('Romania', '16801'), ('Ukraine', '7794')]"
Africa,Burkina Faso,0.00,12294012,2000,"[(""Cote d'Ivoire"", '1252098'), ('Ghana', '31964'), ('Niger', '27134')]","[(""Cote d'Ivoire"", '418038'), ('Mali', '64438'), ('Ghana', '42086')]"
Africa,Burundi,0.00,6374347,2000,"[('Tanzania', '72272'), ('Sudan', '51746'), ('Rwanda', '34616')]","[('Rwanda', '29159'), ('Congo, Dem. Rep.', '13072'), ('Tanzania', '6689')]"
Asia,Cambodia,0.01,12446949,2000,"[('United States', '140684'), ('Germany', '46299'), ('Thailand', '29620')]","[('Vietnam', '122104'), ('Thailand', '100363'), ('China', '5089')]"
Africa,Cameroon,0.01,15678269,2000,"[('Chad', '35126'), ('Gabon', '23481'), ('Nigeria', '16735')]","[('Nigeria', '72187'), ('Chad', '65397'), ('Congo, Dem. Rep.', '15382')]"
The Americas,Canada,0.28,30769700,2000,"[('United States', '950549'), ('United Kingdom', '76106'), ('France', '31846')]","[('United Kingdom', '606723'), ('China', '336302'), ('India', '313999')]"
Africa,Cape Verde,0.05,437238,2000,"[('Portugal', '43032'), ('United States', '27182'), ('Mozambique', '17363')]","[('Sao Tome and Principe', '3433'), ('Angola', '2209'), ('Portugal', '1810')]"
The Americas,Cayman Islands,0.27,40195,2000,"[('United States', '1012'), ('Canada', '136'), ('Puerto Rico', '80')]","[('Jamaica', '10628'), ('United States', '3031'), ('United Kingdom', '2344')]"
Africa,Central African Republic,0.00,3701607,2000,"[('Chad', '9142'), ('Sudan', '2847'), ('Congo, Dem. Rep.', '1979')]","[('Chad', '9103'), ('Congo, Dem. Rep.', '4724'), ('Cameroon', '1565')]"
